dam_name,other_dam_name,dam_former_name,state_or_fed_agency_id,nid_id,other_structure_id,longitude,latitude,section_township_range,county,stream_or_river,nearest_downstream_city,distance_to_nearest_city,owner_name,owner_type,dam_designer,non_fed_dam_on_fed_property,dam_type_nid,core,foundation,purposes,year_completed,year_modified,dam_length,dam_height,structural_height,hydraulic_height,nid_height,max_discharge,max_storage,normal_storage,nid_storage,surface_area,drainage_area,hazard,eap,eap_revision_date,inspection_date,inspection_frequency,condition_assessment,condition_assessment_detail,condition_assessment_date,spillway_type,spillway_width,outlet_gates,volume_of_dam,number_of_locks,lock_length,lock_width,permitting_authority,inspection_authority,enforcement_authority,state_jurisdictional_dam,state_regulated_dam,state_regulatory_agency,fed_agency_involvement_funding,fed_agency_involvement_design,fed_agency_involvement_construction,fed_agency_involvement_regulatory,fed_agency_involvement_inspection,fed_agency_involvement_operation,fed_agency_owner,fed_agency_involvement_other,source_agency,state,dam_number,status_code,island,classified_by,watershed_authority,tmk,tmk2,dam_type,spillway_size,spillway_protection,spillway_length,spillway_wall_height,outlet_type,spillway_control,ferc_status,ogee_present,outlet_access,outlet_max_discharge,outlet_control_location,outlet_size,staff_gage_level,upstream_slope_grade,upstream_protection,downstream_slope_grade,downstream_protection,water_body_type,hazard_analysis_date,certificate_to_impound_date,district_code,cong_rep_district,cong_rep,cong_rep_party,ferc_info,top_of_crest,spillway_crest,operating_level,dam_former_name_alt,classification_received_date,classification_date,section,classification_purpose,classification_comments,last_owner_om_inspection,last_outlet_inspection,phase_I_inspection,inspection_history,last_eap_audit,audit_comments,inundation_mapping,inundation_mapping_comments,loss_of_life_year_completed,population_at_risk,loss_of_life,loss_of_life_method,submit_date,url,condition_assessment_detail_alt,data_owner,permitting_agency,nid_owners,legal_quarter_4,number_separate_structures_alt,other_structure_id_alt,legal_quarter_3,legal_quarter_2,record_id,longitude_degrees,size_nid,hazard_nid,dam_status_description,spillway_type_nid,outlet_type_nid,watershed_description,access_surface_description,access_method_description,spillway_protection_description,upstream_protection_description,downstream_protection_description,annual_cert_year,added_state,added_year_data_refers_to,crest_elevation,coe_district,drainage_area_acres,fpp,low_level_release_facility,structure,ose_dam_file_no,land_name,basin,dike_length,latitude_minutes,latitude_seconds,longitude_minutes,longitude_seconds,spillway_type_1_description,spillway_type_2_description,latitude_degrees,eap_last_exercised,municipalities,annual_cert_date,eng_assess_date_received,id,st_ht,c_length,ac_conc,tbidmast_hpc,sw_max_cfs,npa,ac_dt,town,max_volume,state_defined_dam,drinking_water,comments,classification,2015_new_nid_entry,region,property_owner,geology_of_foundation,benchmark_location,om_onfile,om_date,hhreport_onfile,hhreport_date,stabilityreport_onfile,stabilityreport_date,legal_quarter_1,township,range2,owner_address,owner_city,owner_state,owner_zip,owner_physical_address,owner_physical_city,owner_physical_state,owner_physical_zip,owner_phone,owner_email,engineering_contact,engineering_phone,engineering_firm,engineering_firm_address,engineering_firm_city,engineering_firm_state,engineering_firm_zip,engineering_firm_email,reservoir_code,approval_date,inundation_mapping_year,ag_exempt,top_of_dam,top_of_principal_spillway,top_of_emergency_spillway,eap_year,first_contact_name,comment_2,dam_modification,secondary_purpose,classification_date_change,hazard_date,quadrangle_name,constructed_by,type_modify_repair,modify_repair_year,normal_freeboard,bottom_drain_operable,normal_pool_elev,normal_pool_capacity,max_impoundment_capacity,minimum_release_cfs,emergency_spillway_type,inspectors,next_inspection_date,non_date,nod_deadline_date,nod_resolved,nov_resolved,dso_date,dso_deadline,dso_resolved,addr_line_2,bottom_drain,ws_id,eng_data_id,class,notes,dam_id,hazard_potential,purpose_1_code,purpose_2_code,purpose_3_code,purpose_4_code,purpose_5_code,purpose_6_code,purpose_7_code,purpose_8_code,last_mod_type_code,acres,fema_req_ind,emergency_plan,other_id,long,quarter,range1,section_township_range_alt,code,core_certainty,foundation_certainty,federal_agency_owner,core_type,core_position,foundation_code,dam_key_seq_no,dam_popular_name,nat_dam_code,state_agency,reg_agency_insp_type,sufficiency_code,sufficiency_date,fd_name,n,q,federal_regulations,first_dam_at_site_year,wdid,div,wd,pm,q160,q40,utm_x,utm_y,location_accuracy,spillway_capactiy,outlet_description,outlet_capacity,overall_conditions,safe_storage,current_restrictions,primary_contact,assigned_to,more_information,location,f,r_n,rd,attention,ext,class_description,cert_type,dam_name_alt,lat_decimal,long_decimal,county_alt,legals,cert_expiration,pmt_type,pmt_date,pmt_exp,top_hgt,top_capacity,top_area,top_elevation,normal_pool_area,normal_pool_height,reg_no,ph1_rpt,ins_rcd_o,ins_rcd_e,pe_insp_by,acmp_by,coordinate_validated,da_sm,spillway_id,sdf_r,sdf_a,memo,classification_size,s_130,last_visit,pmp_6,pmp_12,pmp_24,pmp_selected,reason_for_inclusion,pool_volume,streambed_elevation,emergency_volume,emergency_area,emergency_elevation,river_class,contrib_area,principal_inlet,principal_length,emergency_spillway_construction,normal_depth,valve_type,valve_location,low_head_dam,low_level_rest_ext,low_level_rest_ext_install,embankment_volume,top_width,es_level_length,es_slope_length,es_percent_slope,drawdown_elevation,drawdown_area,drawdown_volume,streambed_area,streambed_volume,conduit_type,conduit_size,x_coord,y_coord,eap_date,atlas_number,state_reg_dam_51,state_reg_dam_52,state_reg_dam_53,state_reg_dam_54,state_reg_dam_5,dam_code,spillcrest_storage,Condition_Assessment_Date,FormattedMonth,FormattedDay,FormattedYear,meridian,is_statuatory_dam,is_active_dam,PermitNoUpdate_PermitNo,PermitNoUpdate_Suffix,SUB-DIST,eap_exercise_date,action,ALLDAMS.DIV,DIST,SubDiv,PhotoLink,PhotoYes,utmx,utmy,inspection_group,eap_comments,wmd,WMD_Permit_Number,Permit_,Enforcement_Actions_,F59,Shape,created_date,ID_NO2,OFFNAME2,Regulated2,D NAME,O NAME,CO,HY HT,MX AF,RIV STR,YR COMP,tblDmast_HPC,NAT_ID2,DAM_TYPE2,OD_NAME2,FD_NAME2,NR_CTY_TWN2,MI_CTY_TWN2,O_TYPE2,DESIGNER2,PRV_FED_LD2,PURPOSES2,YR_MOD2,STR_HEIGHT2,MAX_DISCHR2,NORM_STORG2,EMER_AC_PL2,INSP_FREQ2,STA_REG_DM2,STA_REG_AG2,SPLWY_TYPE2,SPLWY_WDTH2,OUTLT_GATE2,DAM_VOLUME2
AII RESERVOIR,,,KA-0011,HI00011,,-159.381311,22.019367,,Kauai,TR-HANAMAULU STREAM OFFSTREAM,Kapaia,1.9,Grove Farm Company (Haruki),P,,FALSE,RE,,,I,1920,,350,21,26,20,21,,68,68,68,5.2,0.21,High,TRUE,2018-05-01T10:39:00,5/3/16,5,CONDITIONALLY FAIR,,6/1/09,U,40,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Hanamaulu,2019-03-09T00:02:00,2019-03-08T00:02:00,Earthen,Small,Bare Soil,110,3,Upstream Control in Tower,Uncontrolled,Channel,FALSE,Bridge,,Upstream,5' X 3.5',11,17,Bare Soil,50,Ungrouted Riprap,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,S,H,Active,FALSE,,Hanamaulu,Unpaved,Car,Bare Soil,Bare Soil,Ungrouted Riprap,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAPAIA RESERVOIR,,,KA-0012,HI00012,,-159.39604,22.016706,,Kauai,HANAMAULU STREAM,KAPAIA,3,Grove Farm Company (Haruki),P,,FALSE,RE,,,I,1910,,1050,50,53,45,50,,1114,1105,1114,54.4,2.51,High,TRUE,2018-05-02T00:00:00,4/16/18,5,CONDITIONALLY FAIR,,6/1/09,U,375,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Hanamaulu,2019-03-08T00:02:00,,Earthen,Intermediate,Mowed Grass,225,6,Upstream Control in Tower,Uncontrolled,Channel,FALSE,Bridge,,Upstream,approx.  3' diam.,37,19,Vegetation,22.5,Vegetation,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,I,H,Active,FALSE,,Hanamaulu,Unpaved,Car,Mowed Grass,Vegetation,Vegetation,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPPER KAPAHI RESERVOIR,,,KA-0013,HI00013,,-159.365722,22.094186,,Kauai,TR-WAIKAEA CANAL OFFSTREAM,KAPAA,4,"County of Kauai - Department of Public Works ; State of Hawaii, Dept of Land and Natural Resources; State of Hawaii, Dept of Land and Natural Resources-Land",S,,FALSE,RE,,,I,1910,,1080,40,45,40,40,515,296,94,296,,0.17,High,TRUE,2014-12-22T00:00:00,7/2/14,5,CONDITIONALLY FAIR,,4/1/09,U,70,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Waikaea,2019-04-06T00:07:00,,Earthen,Small,Vegetation,86,0,Upstream Control in Tower,Uncontrolled,Channel,FALSE,Bridge,,Upstream,,0,26.5,Vegetation,28,Vegetation,State Regulated Dam,6/1/09,,,,,,http://waterdata.usgs.gov/hi/nwis/uv/?site_no=220541159215901&PARAmeter_cd=00065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,S,H,Active,FALSE,,Waikaea,Paved,Car,Vegetation,Vegetation,Vegetation,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKINAWA RESERVOIR,,,KA-0014,HI00014,,-159.365055,22.006322,,Kauai,UNNAMED GULCH,KAPAIA,0.6,Grove Farm Company (Haruki),P,,FALSE,RE,,,I,1920,,470,25,29,22,25,1000,142,84,142,14,0.78,High,TRUE,2018-05-02T10:18:00,5/3/16,5,POOR,,6/1/09,U,36,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Hanamaulu,2019-03-08T00:02:00,,Earthen,Small,Concrete,14,4,Upstream Control in Tower,Uncontrolled,2 Bay Box Culvert,FALSE,Catwalk,150,Upstream,32 wide X 40 high,0,34,Vegetation,28,Vegetation,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,S,H,Active,,,Hanamaulu,Unpaved,Car,Concrete,Vegetation,Vegetation,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANEHA RESERVOIR,,,KA-0015,HI00015,,-159.371343,22.131118,,Kauai,TR-KEALIA STREAM OFFSTREAM,KEALIA,5,Cornerstone Hawaii Holdings LLC (McCloskey),P,,FALSE,RE,,,I,1910,,410,46,51,43,46,,420,356,420,14.1,0.7,High,TRUE,2017-09-29T00:00:00,4/16/18,5,POOR,,2/1/09,U,20,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Kapaa,2019-04-07T00:02:00,,Earthen,Intermediate,Concrete,21,0,Upstream Control in Tower,Uncontrolled,Channel,FALSE,Catwalk,,Upstream,4 ft by 4 ft,43,40,Mowed Grass,34,Mowed Grass,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,I,H,Active,FALSE,,Kapaa,Unpaved,4x4,Concrete,Mowed Grass,Mowed Grass,Irrigation; Recreation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMINO RESERVOIR,,,KA-0016,HI00016,,-159.361788,22.114864,,Kauai,MIMINO STREAM,KEALIA,4,Cornerstone Hawaii Holdings LLC (McCloskey); Mimino Ranch LLC,P,,FALSE,RE,,,I,1920,,600,44,65,64,44,,70,51,70,4.2,0.35,High,TRUE,2017-07-06T08:40:00,3/15/16,5,POOR,,2/1/09,U,18,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Kapaa,2019-04-07T00:02:00,2019-04-07T00:01:00,Earthen,Intermediate,Grouted Riprap,0,0,Upstream Control in Tower,Uncontrolled,Pipe,FALSE,Catwalk,,Two Gates to 24 Inch Pipes to 32 Inch CMP Through the Embankment to Unlined Tunnel the last 15 Feet,32 Inch CMP,42,26.5,Bare Soil,26.5,Mowed Grass,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,I,H,Active,FALSE,,Kapaa,Unpaved,4x4,Grouted Riprap,Bare Soil,Mowed Grass,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAHIAWA DAM,LAKE WILSON; WILSON RESERVOIR,,OA-0017,HI00017,,-158.049151,21.497655,,Honolulu,KAUKONAHUA STREAM,WAIALUA,7,"Dole Food Company Hawaii; Sustainable Hawaii, Inc.",P,,FALSE,RE,,,I,1906,,660,88,98,88,88,24500,9200,7761,9200,302,16.7,High,TRUE,2016-04-28T00:00:00,5/18/18,5,POOR,,8/1/08,C,205,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Oahu,FALSE,Kiikii,2019-07-01T00:01:00,2019-07-03T00:07:00,Earthen,Intermediate,Concrete,490,10,Upstream Control in Tower,Controlled,Channel,TRUE,walk to tower,,upstream,unknown,,14.5,Ungrouted Riprap,27,Mowed Grass,State Regulated Dam,6/1/09,,,,,,http://waterdata.usgs.gov/hi/nwis/uv/?site_no=16210000&PARAmeter_cd=00065,852.5,842.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,I,H,Active,FALSE,,Kiikii,Gravel,Car,Concrete,Ungrouted Riprap,Mowed Grass,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPAEULA 01 RESERVOIR,OPAEULA RESERVOIR,,OA-0018,HI00018,,-158.027986,21.570375,,Honolulu,TR-ANAHULU RIVER,HALEIWA,5,Kamehameha Schools,P,,FALSE,RE,,,I,1910,2011,250,66,71,60,66,0,400,258,400,6.5,0.23,High,TRUE,2018-03-12T00:00:00,5/18/18,5,CONDITIONALLY FAIR,,12/1/08,U,4,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Oahu,FALSE,Anahulu,2019-06-02T00:11:00,,Earthen,Intermediate,HDPE Liner,0,,Upstream Control,Uncontrolled,Pipe,FALSE,walk,,20 Inch gate valve Intake to an 18 Inch HDPE Pipe Sliplined in the 20 Inch Steel Pipe ,18 Inch HDPE,46,26,Ungrouted Riprap,33,Vegetation,State Regulated Dam,6/1/09,,,,,,http://data.vistadatavision.com/web_map.php,40.3,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,I,H,Active,FALSE,U,Anahulu,Paved,4x4 (wet conditions only),HDPE Liner,Ungrouted Riprap,Vegetation,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPAEULA 15 RESERVOIR,,,OA-0020,HI00020,,-158.053402,21.575369,,Honolulu,TR-ANAHULU RIVER OFFSTREAM,HALEIWA,3,Kamehameha Schools,P,,FALSE,RE,,,I,1910,,2200,21,18,14,21,0,85,64,85,0,0.007,High,TRUE,2010-09-17T00:00:00,8/31/17,5,POOR,,12/1/09,U,2.5,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Oahu,FALSE,Anahulu,2019-06-02T00:10:00,,Earthen,Small,Concrete,90,0,Downstream Control,Uncontrolled,Pipe,FALSE,Walk,,Downstream,20in,0,40,Bare Soil,35,Vegetation,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,S,H,Active,FALSE,,Anahulu,Unpaved,Car,Concrete,Bare Soil,Vegetation,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEMOO 5 RESERVOIR,,,OA-0021,HI00021,,-158.103653,21.556074,,Honolulu,KAUKONAHUA STREAM OFFSTREAM,THOMPSON CORNER,1,Dole Food Company Hawaii,P,,FALSE,RE,,,I,1920,,650,21,25,21,21,167,63,63,63,4.4,0.01,High,TRUE,2014-05-14T00:00:00,5/4/18,5,POOR,,3/1/09,U,0,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Oahu,FALSE,Paukauila,2019-06-05T00:01:00,,Earthen,Small,Concrete,52,0,Downstream Control,Uncontrolled,Pipe,FALSE,Walk,,Three PVC Puka Pipes to a 12 Inch Steel Conduit through the Embankment to a 12 Inch PVC Pipe - 12 Inch ASAHI AV Butterfly Valve ,12 in,0,32,Bare Soil,42,Bare Soil,State Regulated Dam,6/1/09,,,,,,http://waterdata.usgs.gov/hi/nwis/uv/?site_no=213320158061401&PARAmeter_cd=00065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,S,H,Active,FALSE,,Paukauila,Unpaved,4x4 (wet conditions only),Concrete,Bare Soil,Bare Soil,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPPER HELEMANO RESERVOIR,,,OA-0022,HI00022,,-158.029017,21.52673,,Honolulu,TR-POAMOHO STREAM,WAIALUA,7,Dole Food Company Hawaii,P,,FALSE,RE,,,I,1912,,530,46,51,46,46,0,700,479,700,17,0.45,High,TRUE,2014-05-14T00:00:00,5/4/18,5,POOR,,9/1/08,U,9.67,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Oahu,FALSE,Paukauila,2019-06-04T00:04:00,,Earthen,Intermediate,Concrete,300,6.9,Downstream Control,Uncontrolled,Channel,FALSE,Walk,,Downstream,19 in,32,26,Ungrouted Riprap,27,Vegetation,State Regulated Dam,6/1/09,,,,,,http://waterdata.usgs.gov/hi/nwis/uv/?site_no=213133158014201&PARAmeter_cd=00065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,I,H,Active,FALSE,,Paukauila,Unpaved,4x4 (wet conditions only),Concrete,Ungrouted Riprap,Vegetation,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELEMANO  6 RESERVOIR,,,OA-0023,HI00023,,-158.065635,21.552777,,Honolulu,NORTH POMOHO STREAM,KEMOO CAMP 4,3,Dole Food Company Hawaii,P,,FALSE,RE,,,I,1915,,250,36,38,30,36,0,80,66,80,4.6,1.3,High,TRUE,2014-05-14T00:00:00,10/11/17,5,POOR,,9/1/08,U,10,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Oahu,FALSE,Paukauila,2019-06-04T00:03:00,,Earthen,Small,Bare Soil,140,8,Downstream Control,Uncontrolled,Channel,FALSE,walk/drive,,Downstream,20,0,37,Bare Soil,30,Bare Soil,State Regulated Dam,6/1/09,,,,,,http://waterdata.usgs.gov/hi/nwis/uv/?site_no=213308158035601&PARAmeter_cd=00065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,S,H,Active,FALSE,,Paukauila,Unpaved,4x4,Bare Soil,Bare Soil,Bare Soil,Irrigation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALIHIWAI RESERVOIR,,,KA-0024,HI00024,,-159.432378,22.187054,,Kauai,TR-KALIHIWAI RIVER,KALIHIWAI,2,Kalihiwai Ridge Community Association; Kalihiwai Ridge Community Association-Board of Directors,P,,FALSE,RE,,,I,1920,,950,20,25,20,20,,428,278,428,23,0.32,High,TRUE,2017-09-13T10:01:00,6/28/17,5,POOR,,8/1/08,U,14,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,DLNR,,,,,,,,,HI,HI,,Active,Kauai,FALSE,Kalihiwai,2019-05-02T00:22:00,,Earthen,Small,Bare Soil,332,0,Upstream Control,Uncontrolled,Channel,FALSE,On Dam Crest,,Upstream - Throwaway Gate,36 in,15,30,Bare Soil,22,Vegetation,State Regulated Dam,6/1/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RE,S,H,Active,FALSE,U,Kalihiwai,Unpaved,4x4 (wet conditions only),Bare Soil,Bare Soil,Vegetation,Irrigation; Recreation,HI,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
